,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
179,DP 35,1.4,-14,-0.82761578,0.31451025,c5a
180,DP 0,0.7,-15,-0.54373774,0.21780058,c5a
181,DP 1,0.72,-15,-0.54829776,0.22128272,c5a
182,DP 2,0.74,-15,-0.55553369,0.22542342,c5a
183,DP 3,0.76,-15,-0.56723717,0.23054412,c5a
184,DP 4,0.78,-15,-0.58669946,0.23703326,c5a
185,DP 5,0.8,-15,-0.61723767,0.24519713,c5a
186,DP 6,0.82,-15,-0.65752767,0.25562939,c5a
187,DP 7,0.84,-15,-0.71800361,0.26967521,c5a
188,DP 8,0.86,-15,-0.80301208,0.29246959,c5a
189,DP 9,0.88,-15,-0.93063361,0.33315657,c5a
190,DP 10,0.9,-15,-1.1326286,0.41228751,c5a
191,DP 11,0.92,-15,-1.2296894,0.45669909,c5a
192,DP 12,0.94,-15,-1.2054342,0.45228145,c5a
193,DP 13,0.96,-15,-1.1714868,0.44155697,c5a
194,DP 14,0.98,-15,-1.1430102,0.43221296,c5a
195,DP 15,1,-15,-1.1180647,0.42386009,c5a
196,DP 16,1.02,-15,-1.0957158,0.41630876,c5a
197,DP 17,1.04,-15,-1.0755517,0.40952086,c5a
198,DP 18,1.06,-15,-1.0573242,0.40330528,c5a
199,DP 19,1.08,-15,-1.0407819,0.39759913,c5a
200,DP 20,1.1,-15,-1.0258056,0.39234278,c5a
201,DP 21,1.12,-15,-1.0122805,0.38748595,c5a
202,DP 22,1.14,-15,-1.0000828,0.38300966,c5a
203,DP 23,1.16,-15,-0.98909371,0.3789473,c5a
204,DP 24,1.18,-15,-0.97915828,0.37531856,c5a
205,DP 25,1.2,-15,-0.96953331,0.37180441,c5a
206,DP 26,1.22,-15,-0.95913697,0.36817728,c5a
207,DP 27,1.24,-15,-0.94783993,0.36451725,c5a
208,DP 28,1.26,-15,-0.93557486,0.36070265,c5a
209,DP 29,1.28,-15,-0.92308386,0.35693629,c5a
210,DP 30,1.3,-15,-0.91160201,0.35329671,c5a
211,DP 31,1.32,-15,-0.90191632,0.35006655,c5a
212,DP 32,1.34,-15,-0.89439639,0.34758394,c5a
213,DP 33,1.36,-15,-0.88788253,0.34564319,c5a
214,DP 34,1.38,-15,-0.879628,0.34325441,c5a
215,DP 35,1.4,-15,-0.86933176,0.34021126,c5a
216,DP 0,0.7,6,0.82170644,0.075997032,c5a
217,DP 1,0.72,6,0.83284727,0.083246476,c5a
218,DP 2,0.74,6,0.82416482,0.091278999,c5a
219,DP 3,0.76,6,0.80564518,0.099562927,c5a
220,DP 4,0.78,6,0.78059006,0.10779984,c5a
221,DP 5,0.8,6,0.75065792,0.11595831,c5a
222,DP 6,0.82,6,0.71821167,0.12439377,c5a
223,DP 7,0.84,6,0.68390471,0.13350795,c5a
224,DP 8,0.86,6,0.6446124,0.14386829,c5a
